sentiment,lat,lon
0.0,-2.92889,104.69206
0.0,-6.13632985,106.82150265
0.0,9.5701026,-69.2175684
3.0,37.7164219,-89.19604565
0.0,50.431387,2.74488937
0.0,14.64613899,121.06027998
0.0,-0.64696794,100.21410235
-3.0,32.7209563,-80.0789344
0.0,-6.33419342,106.86259029
0.0,36.3537305,138.1549732
0.0,55.58820012,37.9037251
0.0,48.62800884,4.64917588
0.0,-40.80587524,-65.07978215
2.0,43.03993337,-76.1292321
0.0,5.3484264,-72.4003619
0.0,5.3338987,103.1381596
0.0,-10.1784091,123.5928611
0.0,45.55486183,-94.14845072
0.0,-27.0312608,-48.6510515
0.0,32.57698457,-117.13003311
0.0,-7.87017368,111.46389954
0.0,-27.6460688,-48.7044056
0.0,-6.17686,106.86724
-2.0,35.85343926,-83.63508797
4.0,41.2417021,-80.79564178
0.0,40.3703318,-2.2831161
0.0,40.71655592,-73.60553138
0.0,30.38779259,-94.19287109
0.0,36.1759809,-95.9728111
0.0,-23.56483139,-46.56725134
0.0,-29.96762333,30.92310279
0.0,-3.6953989,-40.3525428
0.0,1.50940477,103.91616351
0.0,-4.82885067,104.88139867
0.0,40.25962841,-89.18826557
0.0,-6.2735987,106.9360399
0.0,51.90921368,-0.64016283
0.0,17.7444336,-64.7114488
0.0,-2.24186022,-79.8930596
3.0,-6.2834883,107.1532026
0.0,36.81077313,34.64026008
-1.0,13.93379,-87.29423
0.0,51.74972626,-0.34017639
0.0,29.3303889,47.6662411
0.0,40.472383,-3.8505965
0.0,35.35790774,-83.24751785
0.0,-37.46458806,-72.36137218
3.0,-6.4214249,106.8919284
0.0,34.41981623,135.33897018
1.0,-6.25583,107.07138
-12.0,37.93347276,-122.33601281
1.0,39.7433922,-104.96981206
-2.0,49.95469839,-97.16742447
3.0,47.09548975,-122.14408636
-1.0,14.53956013,121.00418404
0.0,49.487758,5.758858
0.0,35.73048308,140.27454324
0.0,13.7813484,100.4747188
-4.0,43.05659,-75.60537
0.0,-6.20669945,106.85240318
0.0,-6.21845603,106.84078694
-2.0,38.55393986,-121.42998928
0.0,40.70034582,-73.39961143
0.0,25.77581594,-80.25312066
-6.0,34.02946757,-117.7068774
0.0,35.60030986,-77.36237886
-2.0,13.70365519,100.60237061
0.0,-6.23812,106.72697
0.0,-20.4891592,-55.8069603
2.0,23.0005006,72.5380023
0.0,-6.22465,106.85947667
0.0,-23.53967473,-46.7784977
0.0,0.46043,101.40088
0.0,-6.1894592,107.041771
0.0,39.98415698,32.83651683
0.0,51.29126167,-0.5327033
3.0,32.39470347,-98.82377366
0.0,0.0,0.0
0.0,3.0779021,101.7377215
0.0,-8.58716,115.173
0.0,55.0224738,73.374377
2.0,33.19229163,-87.57739789
0.0,-6.47519079,106.85797462
0.0,42.09586206,-76.8159897
2.0,33.24315575,-111.60764944
0.0,-0.4646438,117.15716888
-6.0,37.25126805,-77.34878753
1.0,29.6602894,-82.2930541
0.0,-26.15638325,28.1296495
2.0,33.92191007,-118.20794681
0.0,11.96304,8.53217
-9.0,32.82674722,-117.20537134
0.0,14.67744921,121.00416097
0.0,42.9157875,-8.3159803
0.0,-6.41028,106.84186
0.0,-0.886663,119.8546569
-5.0,52.2337507,4.7579179
0.0,-2.22179617,113.90180892
0.0,-7.66738,112.83458
0.0,14.57093509,121.04692813
0.0,5.60262,100.4682
0.0,3.0572268,101.49118021
0.0,4.64908416,-74.05667067
0.0,41.37540533,2.10702431
0.0,41.05167262,28.891932
1.0,42.63869675,-79.07589285
0.0,36.58388,30.57797
0.0,37.7502255,-5.91671
0.0,-6.4778658,106.8442503
6.0,30.417748,-91.1815555
0.0,3.62494,98.67308
-4.0,32.3323094,-95.3110695
0.0,-6.24536,107.02395
1.0,33.7561786,-78.8057804
0.0,49.3621168,6.050249
0.0,51.47691745,-0.04631087
0.0,-7.8366543,112.049653
0.0,19.65009744,-99.07920319
0.0,41.0094057,29.20584955
0.0,1.3756823,103.9338345
0.0,2.629752,99.488831
0.0,32.39211495,-111.07745575
0.0,41.02603434,28.94086986
0.0,-3.802552,102.2633283
0.0,51.46452949,-0.015193
0.0,34.41156832,-119.84473475
0.0,-6.1852262,106.7587605
0.0,43.01248706,-87.93096499
0.0,38.413102,-0.7746287
3.0,-7.56113,110.78949
0.0,-6.3169353,106.9637252
0.0,23.00826878,72.54137111
1.0,31.51818295,-96.93769413
0.0,51.42966599,-2.74286729
0.0,14.56419462,121.06113408
0.0,39.89551288,-75.32547555
3.0,-7.04817,107.77086
0.0,-30.02629934,-51.09837
0.0,37.3771936,-5.9508891
0.0,40.89467729,29.25703945
0.0,30.69534129,-88.18748862
0.0,3.1081537,101.3849645
-2.0,52.46776002,-2.09356651
0.0,4.6340908,-74.4557236
0.0,40.76877943,29.83014098
0.0,20.57179529,-101.22541463
1.0,14.70048167,121.06783172
0.0,24.49909,54.36728
0.0,8.2558247,-62.8062774
0.0,-6.56314,106.81917
0.0,-6.34786552,106.80019767
1.0,1.4599519,124.8193675
0.0,15.72113442,120.57273746
0.0,60.1727355,24.9473213
0.0,40.31963278,-3.71296714
-2.0,6.78209687,3.42400375
0.0,-23.2009054,-45.7749502
0.0,48.60694318,2.50473427
-4.0,33.85981483,-84.71414429
0.0,54.7387806,55.9973199
0.0,56.1390062,47.2509085
0.0,41.06074304,29.03701714
0.0,33.89825909,-118.1920002
6.0,34.03138757,-117.90743932
0.0,29.3104428,47.7414104
0.0,-7.3214,108.73682
3.0,5.33703,100.29347
3.0,-23.02227588,-43.48653113
0.0,11.7178579,-70.1993132
0.0,-6.2946579,106.89972242
0.0,-0.8956565,119.8824067
0.0,62.0885345,129.7360748
0.0,37.3825463,-5.9614525
0.0,13.75812281,100.53466558
0.0,39.79719904,-104.75910459
0.0,33.69969506,-117.86662141
0.0,37.68718795,-122.4848006
-4.0,-6.1827483,106.6317861
0.0,-32.52381051,115.75666418
0.0,1.28121,124.87835
0.0,56.01002339,92.88957398
0.0,29.33297,47.68418
-1.0,36.32143302,-115.29461133
3.0,3.15259999,101.59486771
0.0,-34.5827749,-58.4519073
0.0,32.11138259,34.80167022
0.0,-6.3036522,106.7509913
0.0,-6.1463418,106.8253323
0.0,34.967096,135.772691
0.0,38.3226615,26.7688449
0.0,-7.03446,110.4123
0.0,-3.00071,104.77872
0.0,40.6825632,30.5716417
-2.0,38.27358931,-85.57020252
4.0,39.83699994,-84.27679796
2.0,48.7037003,6.1445077
0.0,21.44999,39.54513
0.0,39.36917608,-74.43651116
-2.0,38.93703859,-76.99916318
0.0,55.876028,37.727297
0.0,43.0034044,-3.5040763
0.0,-7.6985476,110.3353082
3.0,33.69644836,-117.87983201
0.0,43.2710399,-2.9500684
-1.0,-35.28009092,138.46641189
0.0,-7.25878684,112.75537933
2.0,25.70932461,-80.28098378
0.0,-3.1259512,-60.0086407
0.0,36.19169502,139.30072323
0.0,35.57957795,139.57301885
1.0,34.097,-118.223
0.0,40.08149167,-74.07157167
-4.0,25.44360588,-80.4587948
1.0,34.17178818,-118.44537888
1.0,40.8722358,-73.90039813
0.0,-27.6460688,-48.7044056
0.0,14.9948013,120.6139116
0.0,35.44084242,139.46563115
0.0,34.967096,135.772691
1.0,40.03492251,-86.15046089
0.0,-5.9907895,106.0281794
0.0,27.75053187,-98.06770824
2.0,24.91367231,67.08313328
1.0,36.14908259,-115.11882537
-2.0,9.02896,7.47483
1.0,-3.0747493,-60.0049062
0.0,40.66891976,-111.83554055
0.0,-6.90108,107.60662
0.0,-34.58553047,-58.48836756
-2.0,34.01786752,-90.04532615
0.0,56.79967473,61.31956623
0.0,34.6644943,135.43155096
0.0,33.9269611,-116.859463
1.0,29.98849087,-95.500623
3.0,21.4942912,-158.0723422
-1.0,3.1081537,101.3849645
2.0,34.16111382,-118.31982825
3.0,44.39443423,11.33909482
0.0,23.19045203,-102.87119176
0.0,34.98400327,135.76730741
2.0,33.33016859,-111.82452745
2.0,42.1787774,-97.1741145
0.0,-3.802552,102.2633283
0.0,29.9010684,-81.31678002
0.0,38.4974376,27.08557024
0.0,3.1169917,101.5750791
-4.0,39.86615446,-82.9367287
